Genes	avg_logFC	pct.TM	pct.PB	pct.Difference	p_val	p_val_adj	
CCL20	3.368661084	0.11	0.006	0.104	4.10E-05	0.756361301	
RGS16	3.364286462	0.092	0	0.092	6.79E-05	1	
TNIP3	3.348142232	0.117	0	0.117	6.10E-06	0.112343091	
XCL1	3.343130268	0.042	0	0.042	0.008617281	1	
CH25H	3.26462929	0.059	0	0.059	0.001641096	1	
FOSB	3.238442749	0.643	0.062	0.581	1.26E-35	2.32E-31	
HLF	3.22467711	0.077	0	0.077	0.000310019	1	
PHLDA1	3.215567687	0.672	0.075	0.597	8.40E-38	1.55E-33	
LINC01281	3.170715258	0.082	0	0.082	0.000187321	1	
KLHL18	3.161541758	0.113	0	0.113	8.64E-06	0.159170704	
NDFIP2	3.160791706	0.343	0.019	0.324	5.17E-16	9.52E-12	
CLEC7A	3.159231293	0.209	0.006	0.203	1.25E-09	2.30E-05	
SMPD3	3.132391147	0.096	0	0.096	4.83E-05	0.890298235	
FANCL	3.118656109	0.148	0.006	0.142	7.59E-07	0.013991572	
GNG8	3.114490136	0.162	0.006	0.156	1.97E-07	0.003623555	
CCR8	3.088471528	0.519	0.031	0.488	9.15E-27	1.69E-22	
CCL3L3	3.066054711	0.044	0	0.044	0.007298267	1	
C1QB	3.06323044	0.049	0	0.049	0.004437113	1	
APOE	3.047753985	0.047	0	0.047	0.005237219	1	
ZBED2	3.036784017	0.087	0	0.087	0.000112928	1	
CLNK	3.026415907	0.084	0	0.084	0.000158285	1	
SLC4A2	3.010705663	0.096	0	0.096	4.83E-05	0.8902988	
CREM	3.004438091	0.697	0.075	0.622	1.53E-39	2.81E-35	
FAIM2	3.002168196	0.082	0	0.082	0.000187321	1	
C1QC	2.988850659	0.049	0	0.049	0.004437113	1	
TUBA3D	2.985043929	0.03	0	0.03	0.027807279	1	
LINC01588	2.980377869	0.199	0.012	0.187	1.16E-08	0.000213227	
LAPTM4B	2.976929518	0.091	0	0.091	8.05E-05	1	
GADD45G	2.972468358	0.166	0.012	0.154	3.78E-07	0.006966977	
UNQ6494	2.972339039	0.077	0	0.077	0.000310019	1	
ARL4A	2.900070887	0.481	0.056	0.425	1.85E-22	3.41E-18	
ICAM1	2.886541022	0.16	0.012	0.148	6.91E-07	0.012729754	
SERPINE2	2.873762866	0.166	0.012	0.154	3.74E-07	0.006888591	
FOS	2.869404194	0.855	0.181	0.674	4.45E-50	8.20E-46	
NR4A2	2.868744203	0.666	0.075	0.591	3.93E-36	7.25E-32	
ID2	2.867519763	0.498	0.056	0.442	2.25E-23	4.14E-19	
LAYN	2.856383827	0.422	0.044	0.378	3.32E-19	6.11E-15	
C1QA	2.847149446	0.04	0	0.04	0.010176667	1	
ACTG2	2.822480111	0.047	0	0.047	0.005237219	1	
SPATA2L	2.808803399	0.064	0	0.064	0.000997088	1	
TNF	2.793376715	0.148	0.019	0.129	7.37E-06	0.135838551	
CDKN2B	2.782933092	0.057	0	0.057	0.001937211	1	
IL1B	2.7476977	0.026	0	0.026	0.039055665	1	
XCL2	2.729445147	0.038	0	0.038	0.012021158	1	
UEVLD	2.678474191	0.063	0	0.063	0.001177388	1	
TNFRSF9	2.678229954	0.559	0.056	0.503	3.71E-27	6.84E-23	
CH507-42P11.8	2.674394038	0.063	0	0.063	0.001177388	1	
TNFRSF4	2.670347905	0.601	0.144	0.457	2.00E-26	3.69E-22	
DGCR5	2.662514428	0.057	0	0.057	0.001937211	1	
AKAP5	2.646594404	0.064	0	0.064	0.000997088	1	
ARHGAP31	2.64299767	0.068	0	0.068	0.000714777	1	
APOC1	2.64183575	0.04	0	0.04	0.010176667	1	
ZNF331	2.640497207	0.535	0.069	0.466	6.95E-25	1.28E-20	
RASGRF2	2.636767811	0.059	0	0.059	0.001641096	1	
LRG1	2.630971744	0.056	0	0.056	0.002286588	1	
TNFSF14	2.629732257	0.132	0.006	0.126	4.54E-06	0.083649937	
FSTL3	2.597847923	0.012	0	0.012	0.16111254	1	
ERRFI1	2.572092787	0.049	0	0.049	0.004437113	1	
ABI3	2.559501029	0.23	0.019	0.211	1.16E-09	2.14E-05	
FBXO2	2.557497594	0.057	0	0.057	0.001937211	1	
HMOX1	2.543317021	0.085	0.006	0.079	0.000464517	1	
RASGEF1B	2.539172225	0.061	0	0.061	0.001390115	1	
MYO5C	2.537893726	0.056	0	0.056	0.002286588	1	
RP11-291B21.2	2.53630666	0.024	0	0.024	0.046349	1	
SPEF2	2.534351536	0.044	0	0.044	0.007298267	1	
ARG2	2.53067952	0.044	0	0.044	0.007298267	1	
RGS1	2.525797072	0.906	0.344	0.562	9.78E-56	1.80E-51	
RGCC	2.512720614	0.648	0.138	0.51	4.61E-30	8.49E-26	
IGLC2	2.508629824	0.038	0	0.038	0.012021158	1	
IL1R1	2.492313828	0.091	0.006	0.085	0.000265215	1	
CCL5	2.49061002	0.207	0.025	0.182	5.25E-08	0.000966996	
MMP9	2.487358556	0.045	0	0.045	0.006182092	1	
LINC00589	2.485796412	0.052	0	0.052	0.003185296	1	
LINC01480	2.485430975	0.035	0	0.035	0.016789578	1	
WDSUB1	2.474601171	0.049	0	0.049	0.004437113	1	
TNFRSF18	2.471184171	0.7	0.131	0.569	3.24E-35	5.98E-31	
TSPAN13	2.468806449	0.049	0	0.049	0.004437113	1	
SKIL	2.468274081	0.181	0.019	0.162	2.32E-07	0.004268478	
BHLHE40-AS1	2.455255153	0.052	0	0.052	0.003185296	1	
FMNL3	2.455076607	0.122	0.006	0.116	1.25E-05	0.229871466	
CXCR6	2.448961921	0.392	0.044	0.348	1.23E-16	2.27E-12	
BMPR2	2.441519919	0.054	0	0.054	0.002698831	1	
PDGFA	2.429346091	0.051	0	0.051	0.003759421	1	
PRKCDBP	2.425437393	0.106	0.006	0.1	6.12E-05	1	
CTC-490G23.2	2.424452576	0.134	0.006	0.128	4.07E-06	0.074914434	
SRGAP3	2.423170517	0.085	0.012	0.073	0.001182399	1	
CHAC2	2.416855591	0.051	0	0.051	0.003759421	1	
PLAGL1	2.415062288	0.049	0	0.049	0.004437113	1	
TNFRSF8	2.405452408	0.056	0	0.056	0.002286588	1	
SOX4	2.4028181	0.157	0.025	0.132	8.25E-06	0.152092827	
ENTPD3-AS1	2.392060399	0.051	0	0.051	0.003759421	1	
PAK1IP1	2.374883706	0.08	0.006	0.074	0.000707214	1	
RGS2	2.35268652	0.408	0.062	0.346	2.34E-16	4.30E-12	
HSPE1	2.350285016	0.817	0.394	0.423	7.26E-38	1.34E-33	
AHSP	2.337050592	0.044	0	0.044	0.007298267	1	
NEK10	2.326850677	0.04	0	0.04	0.010176667	1	
SVIL-AS1	2.326125591	0.051	0	0.051	0.003759421	1	
DUSP2	2.326076882	0.718	0.181	0.537	3.77E-34	6.94E-30	
HEG1	2.325401606	0.038	0	0.038	0.012021158	1	
DPYSL2	2.320068025	0.11	0.006	0.104	4.39E-05	0.808714069	
OTUD7B	2.312627202	0.049	0	0.049	0.004437113	1	
PLAUR	2.298307065	0.031	0	0.031	0.02348956	1	
FAH	2.292517056	0.045	0	0.045	0.006182092	1	
VDR	2.290407298	0.094	0.006	0.088	0.00020066	1	
CAMK1	2.28859153	0.157	0.019	0.138	2.91E-06	0.053659094	
CD9	2.282621427	0.026	0	0.026	0.039055665	1	
KCNK5	2.277320364	0.031	0	0.031	0.023489545	1	
HSPH1	2.275498635	0.571	0.106	0.465	1.11E-24	2.05E-20	
ADARB2	2.270217223	0.038	0	0.038	0.012021158	1	
TNFSF9	2.25741357	0.044	0	0.044	0.007298267	1	
TNS3	2.257032835	0.044	0	0.044	0.007298267	1	
TP53INP2	2.2516229	0.038	0	0.038	0.012021158	1	
CGA	2.243749714	0.01	0	0.01	0.194868982	1	
IER5	2.243232886	0.174	0.019	0.155	5.96E-07	0.010983284	
SUOX	2.235948631	0.066	0.006	0.06	0.002672415	1	
EGR3	2.233083954	0.024	0	0.024	0.046349	1	
ZEB1-AS1	2.21966657	0.038	0	0.038	0.012021158	1	
CCL2	2.21316294	0.003	0	0.003	0.456375917	1	
ZNF80	2.210367174	0.03	0	0.03	0.027807279	1	
GLA	2.207295178	0.199	0.031	0.168	3.21E-07	0.005910136	
CKS2	2.207278746	0.376	0.069	0.307	7.34E-14	1.35E-09	
CD8A	2.200922792	0.066	0.006	0.06	0.00282886	1	
PLA2G4C	2.188087515	0.037	0	0.037	0.014204164	1	
TGFBI	2.182684923	0.028	0	0.028	0.032941551	1	
MS4A7	2.181384206	0.026	0	0.026	0.039055665	1	
DNAJB1	2.181038233	0.885	0.769	0.116	5.25E-33	9.67E-29	
MAFF	2.157609077	0.113	0.012	0.101	8.87E-05	1	
E2F6	2.151465718	0.033	0	0.033	0.019854011	1	
HBEGF	2.150639054	0.024	0	0.024	0.046349	1	
RP11-539I5.1	2.150322795	0.033	0	0.033	0.019854011	1	
TSPYL2	2.142231824	0.456	0.075	0.381	6.84E-18	1.26E-13	
ULBP2	2.14123546	0.061	0.006	0.055	0.004442666	1	
GFI1	2.141207037	0.037	0	0.037	0.014204164	1	
LINC01137	2.140285031	0.037	0	0.037	0.014204164	1	
STAC	2.139506949	0.057	0.006	0.051	0.006136538	1	
CD83	2.138091434	0.39	0.1	0.29	4.19E-13	7.72E-09	
ZNF799	2.137581182	0.035	0	0.035	0.016789578	1	
FAM124B	2.134825424	0.031	0	0.031	0.02348956	1	
CXCL16	2.126908569	0.035	0	0.035	0.016789578	1	
BHLHE40	2.123579409	0.206	0.038	0.168	3.78E-07	0.006967404	
ADPRH	2.120573097	0.075	0.006	0.069	0.001206492	1	
NIPA1	2.119180249	0.037	0	0.037	0.014204164	1	
TTC4	2.108849158	0.061	0.006	0.055	0.004411339	1	
PHLDA3	2.107748098	0.033	0	0.033	0.019854011	1	
F11R	2.106139349	0.064	0.006	0.058	0.003158746	1	
B4GALT5	2.099203138	0.035	0	0.035	0.016789578	1	
SMAD1	2.094162812	0.028	0	0.028	0.032941551	1	
ZNF683	2.09211574	0.045	0.006	0.039	0.020193251	1	
MIR155HG	2.090766754	0.321	0.094	0.227	2.06E-09	3.79E-05	
RP11-493L12.5	2.086171035	0.035	0	0.035	0.016789578	1	
DDX31	2.083573616	0.031	0	0.031	0.02348956	1	
MUC12	2.078609782	0.033	0	0.033	0.019854011	1	
NAMPT	2.074367588	0.618	0.175	0.443	5.13E-26	9.46E-22	
CNKSR2	2.073121498	0.033	0	0.033	0.019854011	1	
DNAJB4	2.072924913	0.425	0.094	0.331	3.33E-15	6.13E-11	
CCR5	2.072120017	0.091	0.012	0.079	0.000752295	1	
NTRK1	2.071366387	0.035	0	0.035	0.016789578	1	
GCNT1	2.054604665	0.183	0.019	0.164	2.81E-07	0.005183493	
STIP1	2.053946539	0.286	0.05	0.236	2.64E-10	4.86E-06	
TNFRSF13B	2.053081333	0.188	0.006	0.182	1.54E-08	0.000283591	
KRT86	2.052024718	0.031	0.006	0.025	0.075521188	1	
SH2D2A	2.051807531	0.608	0.138	0.47	5.03E-26	9.27E-22	
LTA	2.050419508	0.305	0.056	0.249	8.82E-11	1.63E-06	
G0S2	2.050157746	0.014	0	0.014	0.133799231	1	
DNAJA4	2.047377515	0.056	0.006	0.05	0.007775608	1	
SPP1	2.031273051	0.009	0	0.009	0.237083309	1	
DNAJA1	2.027637247	0.746	0.362	0.384	6.74E-31	1.24E-26	
CTD-3252C9.4	2.024403986	0.206	0.025	0.181	7.35E-08	0.001354728	
AP001258.4	2.021324058	0.044	0.006	0.038	0.023293903	1	
TRIB1	2.013970899	0.186	0.044	0.142	5.23E-06	0.096437651	
ANKRD35	2.011971741	0.031	0	0.031	0.02348956	1	
SLC1A5	2.011268427	0.125	0.019	0.106	7.11E-05	1	
RP1-207H1.3	2.005405864	0.033	0	0.033	0.019854011	1	
ADGRE1	2.001124618	0.035	0	0.035	0.016789578	1	
B3GALT2	1.998198512	0.028	0	0.028	0.032941551	1	
CDKN2A	1.997536633	0.345	0.062	0.283	3.00E-12	5.54E-08	
IGHV1-3	1.985097687	0.031	0	0.031	0.02348956	1	
NFIL3	1.983391938	0.037	0	0.037	0.014204164	1	
AMPD3	1.977616014	0.033	0	0.033	0.019854011	1	
CES4A	1.97299872	0.059	0.006	0.053	0.005267776	1	
EIF4A3	1.970547752	0.348	0.075	0.273	6.88E-12	1.27E-07	
MDM1	1.967967456	0.033	0	0.033	0.019854011	1	
RND1	1.959662675	0.023	0	0.023	0.055066418	1	
NEDD9	1.951716745	0.538	0.112	0.426	1.92E-21	3.54E-17	
DUSP3	1.950459838	0.03	0	0.03	0.027807279	1	
RP11-850A17.1	1.948934084	0.026	0	0.026	0.039055665	1	
SOS2	1.947096865	0.03	0	0.03	0.027807279	1	
COA7	1.940610817	0.037	0	0.037	0.014204164	1	
AKR1C1	1.929932286	0.021	0	0.021	0.065510738	1	
PCNA	1.927240111	0.186	0.031	0.155	1.16E-06	0.021335972	
DIRAS3	1.92688586	0.047	0.006	0.041	0.016915298	1	
SGK1	1.925273851	0.146	0.038	0.108	0.000154153	1	
ANKRD37	1.92263249	0.216	0.038	0.178	1.68E-07	0.003097512	
CD8B	1.921556098	0.056	0.012	0.044	0.020115645	1	
TGFBR1	1.921259359	0.049	0.006	0.043	0.014120485	1	
SDS	1.919091316	0.01	0	0.01	0.194868982	1	
RASGEF1A	1.918569917	0.033	0	0.033	0.019854011	1	
TOMM34	1.914722797	0.103	0.012	0.091	0.000250558	1	
CXCL8	1.914123022	0.016	0	0.016	0.111506109	1	
SIK2	1.913341874	0.084	0.012	0.072	0.001500362	1	
KCNQ1OT1	1.912101288	0.026	0	0.026	0.039055665	1	
FGGY	1.911605486	0.078	0.012	0.066	0.002445083	1	
MRC1	1.909868788	0.031	0	0.031	0.02348956	1	
HS3ST1	1.908731277	0.017	0	0.017	0.093188929	1	
NFKBID	1.907776986	0.085	0.019	0.066	0.003689629	1	
TYROBP	1.906638514	0.099	0.019	0.08	0.000984109	1	
CXorf40A	1.90487625	0.164	0.025	0.139	5.09E-06	0.093873584	
PPP2CB	1.899383144	0.024	0	0.024	0.046349	1	
RP11-1100L3.8	1.898956327	0.021	0	0.021	0.065510738	1	
B3GNT5	1.897376853	0.03	0	0.03	0.027807279	1	
HAVCR2	1.890647864	0.132	0.019	0.113	3.85E-05	0.710298261	
KIR2DL3	1.88646302	0.019	0	0.019	0.078059614	1	
ANKRD33B	1.885075242	0.021	0	0.021	0.065510738	1	
DIAPH2-AS1	1.884583085	0.028	0	0.028	0.032941551	1	
CHGB	1.884483491	0.023	0	0.023	0.055066418	1	
PIK3CD-AS2	1.879764507	0.045	0.006	0.039	0.01957614	1	
UTP6	1.879508196	0.07	0.012	0.058	0.00546296	1	
CRIM1	1.878719761	0.026	0	0.026	0.039055665	1	
S100B	1.874686332	0.024	0	0.024	0.046349	1	
RDH13	1.873192825	0.024	0	0.024	0.046349	1	
C15orf39	1.872903253	0.052	0.006	0.046	0.010259996	1	
RXRG	1.869780646	0.028	0	0.028	0.032941551	1	
CDO1	1.869726277	0.007	0	0.007	0.290768773	1	
ZFP36	1.865613692	0.922	0.625	0.297	2.04E-45	3.76E-41	
CEP55	1.865228191	0.026	0	0.026	0.039055665	1	
ORMDL2	1.864680168	0.27	0.056	0.214	4.85E-09	8.93E-05	
LENG8-AS1	1.864621954	0.023	0	0.023	0.055066418	1	
PNP	1.863813523	0.183	0.038	0.145	4.52E-06	0.083329249	
ST3GAL3	1.85572591	0.03	0	0.03	0.027807279	1	
DLGAP3	1.854935051	0.026	0	0.026	0.039055665	1	
C17orf96	1.854596256	0.024	0	0.024	0.046349	1	
COL9A2	1.850092012	0.167	0.025	0.142	3.79E-06	0.069841357	
PRLR	1.845571581	0.019	0	0.019	0.078059614	1	
C14orf80	1.845096894	0.026	0	0.026	0.039055665	1	
TRGV3	1.84054106	0.035	0.006	0.029	0.053683605	1	
RYR1	1.840511521	0.028	0	0.028	0.032941551	1	
DVL3	1.834937293	0.021	0	0.021	0.065510738	1	
CDK6	1.834050084	0.197	0.031	0.166	5.36E-07	0.009872001	
WNT10A	1.832390394	0.113	0.019	0.094	0.000248579	1	
ZNF446	1.831214852	0.023	0	0.023	0.055066418	1	
PLEKHG2	1.823930711	0.064	0.006	0.058	0.003402838	1	
LAT2	1.819960122	0.094	0.019	0.075	0.001424899	1	
RNASEH2A	1.819378583	0.094	0.012	0.082	0.000593449	1	
MICAL3	1.815427508	0.054	0.006	0.048	0.008777	1	
FCGR2A	1.810699406	0.021	0	0.021	0.065510738	1	
IER3	1.809845962	0.075	0.006	0.069	0.001310044	1	
SOCS1	1.809304996	0.254	0.062	0.192	9.09E-08	0.001675291	
LINC01358	1.809018032	0.028	0	0.028	0.032941551	1	
SLC31A2	1.806812967	0.066	0.006	0.06	0.00283891	1	
ID1	1.804971816	0.028	0	0.028	0.032941551	1	
HIP1	1.80460216	0.049	0.006	0.043	0.014071496	1	
TGIF2	1.803672811	0.091	0.012	0.079	0.000810214	1	
PAQR4	1.802592211	0.024	0	0.024	0.046349	1	
CUL9	1.801162299	0.27	0.056	0.214	5.92E-09	0.000109058	
PTGDS	1.799788399	0.003	0	0.003	0.456375917	1	
CREB3L3	1.797659942	0.026	0	0.026	0.039055665	1	
SEMA4A	1.797614623	0.057	0.012	0.045	0.016719828	1	
TFCP2	1.796213945	0.03	0	0.03	0.027807279	1	
LAMA2	1.790702011	0.023	0	0.023	0.055066418	1	
KLF4	1.787277622	0.021	0	0.021	0.065510738	1	
ZSCAN21	1.786374259	0.023	0	0.023	0.055066418	1	
ZG16B	1.780355517	0.031	0.006	0.025	0.075018429	1	
APOC4-APOC2	1.780142387	0.019	0	0.019	0.078059614	1	
CALY	1.778737	0.019	0	0.019	0.078059614	1	
ZNF611	1.776091826	0.051	0.006	0.045	0.012247207	1	
BAG3	1.773041969	0.26	0.106	0.154	1.17E-05	0.215656895	
NEU1	1.772168993	0.246	0.069	0.177	5.86E-07	0.010789255	
SNAI1	1.769086828	0.024	0	0.024	0.046349	1	
WLS	1.768426988	0.021	0	0.021	0.065510738	1	
FASLG	1.767766422	0.03	0	0.03	0.027807279	1	
MICAL2	1.766307711	0.197	0.031	0.166	5.25E-07	0.009670956	
SLC12A5	1.764191108	0.019	0	0.019	0.078059614	1	
ARHGAP18	1.763011794	0.216	0.031	0.185	7.60E-08	0.001400285	
RASAL1	1.760951239	0.035	0.006	0.029	0.053502743	1	
AREG	1.760406273	0.089	0.019	0.07	0.002712548	1	
ATP1A4	1.760212819	0.021	0	0.021	0.065510738	1	
BATF	1.757578463	0.85	0.431	0.419	6.18E-39	1.14E-34	
ZCWPW1	1.754144124	0.021	0	0.021	0.065510738	1	
SERPINE1	1.752679271	0.014	0	0.014	0.133799231	1	
SLC27A4	1.748974077	0.017	0	0.017	0.093188929	1	
PHF8	1.748719854	0.094	0.019	0.075	0.001438396	1	
ZNF700	1.74808931	0.023	0	0.023	0.055066418	1	
ZFYVE21	1.745718922	0.04	0.006	0.034	0.032546827	1	
TUBB4B	1.743522612	0.517	0.138	0.379	3.17E-18	5.84E-14	
RBM4B	1.742424076	0.054	0.006	0.048	0.008869467	1	
TTYH3	1.740195748	0.026	0	0.026	0.039055665	1	
BTN2A2	1.738001871	0.082	0.019	0.063	0.004482529	1	
CSF1	1.736979806	0.092	0.012	0.08	0.000751777	1	
ZNF16	1.734104159	0.023	0	0.023	0.055066418	1	
MAP3K14-AS1	1.734081565	0.07	0.006	0.064	0.002158189	1	
EXD2	1.733338795	0.023	0	0.023	0.055066418	1	
C1orf132	1.730179595	0.066	0.006	0.06	0.002899896	1	
BIK	1.72925005	0.021	0	0.021	0.065510738	1	
RASD1	1.727993631	0.01	0	0.01	0.194868982	1	
ZNF672	1.727869829	0.075	0.019	0.056	0.0080807	1	
MLLT4	1.717429379	0.019	0	0.019	0.078059614	1	
SEPP1	1.717225425	0.017	0	0.017	0.093188929	1	
SETD6	1.71513072	0.045	0.006	0.039	0.019916918	1	
CXCL2	1.713780972	0.016	0	0.016	0.111506109	1	
DUSP1	1.712983215	0.936	0.556	0.38	2.70E-40	4.98E-36	
LINC00309	1.708391709	0.017	0	0.017	0.093188929	1	
TAF13	1.706901758	0.054	0.006	0.048	0.008869467	1	
OLR1	1.705080686	0.012	0	0.012	0.16111254	1	
APEX2	1.704798353	0.092	0.012	0.08	0.000722096	1	
ASMT	1.703277185	0.021	0	0.021	0.065510738	1	
NCEH1	1.701993378	0.021	0	0.021	0.065510738	1	
DSN1	1.700900416	0.028	0.006	0.022	0.105785732	1	
FBLN7	1.698396453	0.307	0.081	0.226	2.51E-09	4.62E-05	
CEP83	1.697667228	0.073	0.019	0.054	0.009930789	1	
CBY1	1.692536542	0.026	0	0.026	0.039055665	1	
RHOD	1.691636291	0.019	0	0.019	0.078059614	1	
ATP1B1	1.687206246	0.321	0.1	0.221	4.76E-09	8.76E-05	
PMCH	1.685221607	0.11	0.056	0.054	0.036126654	1	
RP11-121P12.1	1.684075687	0.024	0	0.024	0.046349	1	
TOR1AIP2	1.683780218	0.152	0.038	0.114	9.77E-05	1	
PDLIM7	1.683407768	0.063	0.019	0.044	0.025126889	1	
C17orf67	1.682529899	0.054	0.006	0.048	0.009025496	1	
ADAP1	1.681699635	0.037	0.006	0.031	0.045214652	1	
RHEBL1	1.675934442	0.042	0.006	0.036	0.028006936	1	
TCN2	1.675808399	0.019	0	0.019	0.078059614	1	
OLFM2	1.674923719	0.136	0.044	0.092	0.000730439	1	
DUSP4	1.674054161	0.843	0.375	0.468	2.98E-37	5.50E-33	
PHLPP1	1.673385744	0.019	0	0.019	0.078059614	1	
CTD-2026K11.4	1.67185776	0.017	0	0.017	0.093188929	1	
CD200	1.670552381	0.038	0.006	0.032	0.038880105	1	
HSP90AA1	1.666211387	0.97	0.856	0.114	4.28E-44	7.89E-40	
KDM2B	1.665061125	0.188	0.044	0.144	7.29E-06	0.134387263	
ALAS1	1.665043231	0.094	0.019	0.075	0.001550682	1	
IL9R	1.663822346	0.021	0	0.021	0.065510738	1	
EMC9	1.662504133	0.111	0.012	0.099	0.0001139	1	
ZNF765	1.661712403	0.031	0.006	0.025	0.075269466	1	
PTGDR	1.661370274	0.021	0	0.021	0.065510738	1	
CSRNP1	1.661306829	0.554	0.175	0.379	6.31E-19	1.16E-14	
ETV7	1.660425873	0.101	0.025	0.076	0.001921004	1	
USP51	1.658943575	0.019	0	0.019	0.078059614	1	
RFX2	1.656937619	0.023	0	0.023	0.055066418	1	
AC147651.4	1.655832944	0.021	0	0.021	0.065510738	1	
KBTBD8	1.654969085	0.091	0.019	0.072	0.002135575	1	
GADD45A	1.654316325	0.408	0.138	0.27	1.10E-11	2.02E-07	
FILIP1L	1.653135445	0.017	0	0.017	0.093188929	1	
TBC1D4	1.652697791	0.596	0.238	0.358	5.62E-20	1.04E-15	
SLC25A44	1.652143309	0.061	0.012	0.049	0.012475577	1	
KLRC2	1.651250188	0.017	0	0.017	0.093188929	1	
NFKBIA	1.648748411	0.822	0.456	0.366	3.02E-30	5.56E-26	
DHRS4-AS1	1.64791575	0.068	0.012	0.056	0.006739097	1	
SLC25A19	1.646885743	0.045	0.006	0.039	0.020158518	1	
HSPB1	1.646263091	0.672	0.369	0.303	1.41E-18	2.59E-14	
LINC01012	1.644395067	0.024	0	0.024	0.046349	1	
TRAV4	1.642697016	0.099	0.031	0.068	0.005704613	1	
UBE2T	1.638846202	0.054	0.006	0.048	0.008994109	1	
IGHV4-61	1.637865118	0.016	0	0.016	0.111506109	1	
FAM131A	1.637750102	0.016	0	0.016	0.111506109	1	
S100Z	1.63739014	0.014	0	0.014	0.133799231	1	
PAGE5	1.63414771	0.016	0	0.016	0.111506109	1	
CRHR1	1.632551526	0.04	0.006	0.034	0.032769797	1	
SLC41A2	1.631283466	0.017	0	0.017	0.093188929	1	
TNFAIP3	1.630950813	0.932	0.544	0.388	1.04E-46	1.92E-42	
ADRB2	1.628701362	0.037	0.006	0.031	0.046455303	1	
FAM174B	1.628697776	0.016	0	0.016	0.111506109	1	
CTSC	1.62848457	0.902	0.538	0.364	6.86E-44	1.26E-39	
MAGEH1	1.626473793	0.294	0.112	0.182	5.67E-07	0.010455831	
LFNG	1.617952095	0.033	0.006	0.027	0.063550668	1	
ETS2	1.616280056	0.035	0.006	0.029	0.053864977	1	
FITM2	1.614162501	0.017	0	0.017	0.093188929	1	
PIK3AP1	1.612624134	0.026	0	0.026	0.039055665	1	
TRIP6	1.612303576	0.024	0	0.024	0.046349	1	
LMCD1	1.606491679	0.179	0.044	0.135	1.63E-05	0.29945792	
TRAV10	1.606092695	0.024	0.006	0.018	0.152081097	1	
PMEPA1	1.604892446	0.017	0	0.017	0.093188929	1	
DGUOK-AS1	1.604846146	0.023	0	0.023	0.055066418	1	
KLRC3	1.603884081	0.017	0	0.017	0.093188929	1	
RP11-24F11.2	1.603791779	0.019	0	0.019	0.078059614	1	
FOSL1	1.602669012	0.016	0	0.016	0.111506109	1	
CLIC4	1.60205547	0.024	0	0.024	0.046349	1	
DFNB31	1.601494426	0.124	0.025	0.099	0.000267031	1	
ZNF678	1.59989914	0.033	0.006	0.027	0.063550668	1	
CSF1R	1.598843574	0.014	0	0.014	0.133799231	1	
EXOSC4	1.595625346	0.075	0.012	0.063	0.003569654	1	
LMNA	1.594683593	0.51	0.212	0.298	1.06E-13	1.95E-09	
